1Слоган “|Рукописи не горят|!” очень скоро сменился на рекламных растяжках слоганом “Хранить вечно”, и экранизация “В круге первом” (“Россия”) включилась в вынужденную конкуренцию с новой телеверсией “Золотого теленка” (Первый канал).
1Перефразируя известный пушкинский диктум: “|Не продается вдохновенье, но можно рукопись продать|…”, — скажем, что, за неимением “рукописи”, товаром в лубке было собственно “вдохновенье”, которое точнее было бы назвать симуляцией, ярмарочным надувательством, балаганным розыгрышем, “игрой в игру”.
1Можно договориться до фамусовского: «|Уж если зло пресечь, собрать все книги бы да сжечь|!» Это, конечно, парадоксально, абсурд.
2Так Ахматова отвечала молодежи, |наскакивавшей на нее с собственными версиями непрожитого ими прошлого: “Вас здесь не стояло|”.
1Так Ахматова отвечала молодежи, наскакивавшей на нее с собственными версиями непрожитого ими прошлого: “|Вас здесь не стояло|”.
2И оттого реплика о «|Золотом теленке», случайно оброненная невольным провокатором Батищевым в контексте рассуждений о героическом лейтенанте, может содержать в себе авторскую оценку, снижающую пафос сделанного протагонистом выбора, – в результате которого не только он сам превращается в духовного «сына лейтенанта Шмидта|», но и побуждает к тому же весь класс с примкнувшей к происходящему Наташей.
1И оттого реплика о «Золотом теленке», случайно оброненная невольным провокатором Батищевым в контексте рассуждений о героическом лейтенанте, может содержать в себе авторскую оценку, снижающую пафос сделанного протагонистом выбора, – в результате которого не только он сам превращается в духовного «|сына лейтенанта Шмидта|», но и побуждает к тому же весь класс с примкнувшей к происходящему Наташей.
2Но прежде всего, — забегая слегка вперед, — надо сказать, что далеко не все они оказались бесполезными, а одно, может быть, даже и изменило ход истории 5■ .≉ ≈В книге своих мемуаров – «Люди, годы, жизнь» — об этой стороне своей деятельности он высказался так:≉ ≈«|Чехов, будучи еще Антошей Чехонте, говорил, что медицина — его законная жена, а литература — любовница; медицине он долго учился|, получил диплом, практиковал.
1Но прежде всего, — забегая слегка вперед, — надо сказать, что далеко не все они оказались бесполезными, а одно, может быть, даже и изменило ход истории 5■ .≉ ≈В книге своих мемуаров – «Люди, годы, жизнь» — об этой стороне своей деятельности он высказался так:≉ ≈«|Чехов, будучи еще Антошей Чехонте, говорил, что медицина — его законная жена, а литература — любовница; медицине он долго учился, получил диплом, практиковал|.
1≉ И следующий мой шаг: |не только неуверенность в слове собственном, но глубокая подозрительность в отношении слова как такового|.
2Когда после ограбления ему посоветуют| обратиться “к одному └значительному лицу┘, что └значительное лицо┘, спишась и снесясь с кем следует, может заставить успешнее идти дело|”, и Акакий Акакиевич, не умеющий ни говорить, ни тем более сочинять, и чувствуя, что официальная бумага в розыске шинели не поможет (некая символическая расплата за многолетнее копирование), попытается помочь мертвому (это только в его мире буквы были живые) ходатайству косноязычным, но живым (!
1Когда после ограбления ему посоветуют обратиться “|к одному └значительному лицу┘, что └значительное лицо┘, спишась и снесясь с кем следует, может заставить успешнее идти дело|”, и Акакий Акакиевич, не умеющий ни говорить, ни тем более сочинять, и чувствуя, что официальная бумага в розыске шинели не поможет (некая символическая расплата за многолетнее копирование), попытается помочь мертвому (это только в его мире буквы были живые) ходатайству косноязычным, но живым (!
1“Правильные” стихи третьего опуса (“|А в те же дни на расстоянье, / За древней каменной стеной / Живет не человек – деянье: / Поступок ростом с шар земной|”) тонут в 
1тонут в “|трескучей риторике, не имеющей отношения к делу” (“Судьба дала ему уделом / Предшествующего пробел”, или, того хлеще: “Он миг для пряток прозевал|”).
2Даже те пушкинские субстантивы (“сиянья”, “мечтанья”, “наслажденья”, “стремленья”), которые в западноевропейской лирической поэзии по обыкновению наделяются патетикой, у Пушкина воспроизводят своей оральной формой образ лакомящегося языка; будто функция поэтической речи состоит в дегустации своего объекта, что делает его легкодоступным и повседневным.≉ ≈Возьмем, к примеру, стихотворение “|Красавица” (1832)≉  ≈…≉ ≈Куда бы ты ни поспешал,≉ ≈Хоть на любовное свиданье,≉ ≈Какое б в сердце ни питал≉ ≈Ты сокровенное мечтанье, – ≉ ≈Но, встретясь с ней, смущенный, ты≉ ≈Вдруг остановишься невольно,≉ ≈Благоговея богомольно перед святыней красоты.≉  ≈Или стихотворение “К| ***” (1832):≉  ≈…≉ ≈Нет, полно мне любить; но почему ж порой≉ ≈Не погружуся я в минутное мечтанье,≉ ≈Когда нечаянно пройдет передо мной≉ ≈Младое, чистое, небесное созданье,≉ ≈Пройдет и скроется?..
1Даже те пушкинские субстантивы (“сиянья”, “мечтанья”, “наслажденья”, “стремленья”), которые в западноевропейской лирической поэзии по обыкновению наделяются патетикой, у Пушкина воспроизводят своей оральной формой образ лакомящегося языка; будто функция поэтической речи состоит в дегустации своего объекта, что делает его легкодоступным и повседневным.≉ ≈Возьмем, к примеру, стихотворение “Красавица” (1832)≉  ≈…≉ ≈|Куда бы ты ни поспешал,≉ ≈Хоть на любовное свиданье,≉ ≈Какое б в сердце ни питал≉ ≈Ты сокровенное мечтанье, – ≉ ≈Но, встретясь с ней, смущенный, ты≉ ≈Вдруг остановишься невольно,≉ ≈Благоговея богомольно перед святыней красоты|.≉  
1≈Или стихотворение “К ***” (1832):≉  ≈…≉ ≈|Нет, полно мне любить; но почему ж порой≉ ≈Не погружуся я в минутное мечтанье,≉ ≈Когда нечаянно пройдет передо мной≉ ≈Младое, чистое, небесное созданье,≉ ≈Пройдет и скроется?..|
1Правда, это было уже другое время, до которого Маяковский, — к счастью для него, — не дожил.≉ ≈* * *≉ ≈ Из стихотворных строк о времени, помимо известных строк Маяковского — и тех, что я только что процитировал, и той, что я поставил эпиграфом к этой статье, и знаменитого его обращения к «|товарищам потомкам|», которым он хотел сам рассказать
1которым он хотел сам рассказать «|о времени и о себе|», — едва ли не такими же расхожими стали строки другого поэта:≉ ≈■≉ ≈ Время?
1Петра в живых тогда уже не было, но принцип Медного всадника находился в зените.≉ С фразой “Прошло сто лет”, которая содержит в себе └фигуру умолчания о самом процессе┘ созидания и страшной цене возведения “полночных стран красы и дива”, соотносится в поэтике текста фраза из второй части: “|На высоте, уздой железной / Россию поднял на дыбы|”8■.
1≉ Несмотря на безыскусность части “пролетарского андеграунда”, через защиту прав рабочих его тексты осуществляли критическую функцию – “прерывание процесса нормализации [и] вызов принципу единства и сплоченности, - то есть оспаривание мифа о консенсусе”, – функцию, которую Дик Хебдидж выделил как смысл субкультурного стиля (Hebdidge 1991: 18)≉ Михаил Бахтин (Bakhtin 1984) пишет, что “|народная культура прошлого всегда… стремилась победить смехом, протрезвить, перевести на язык материально-телесного низа (в амбивалентном значении) все узловые мысли, образы и символы официальных культур|”[36]; можно предположить, что нарочитая вульгарность в произведении действует как метафорическое выражение голоса низших социальных слоев.
1■ ≉ ≈2≉ ≈Существование дистанции между Поэтом и автором стихотворения должно помочь нам понять, что все утверждения Поэта полемически заострены до крайности, в том числе и завершающее стихотворение четверостишие, давшее в свое время повод говорить о приверженности Пушкина принципам «|чистого» искусства:≉  ≈Не для житейского волненья,≉ ≈Не для корысти, не для битв,≉ ≈Мы рождены для вдохновенья,≉ ≈Для звуков сладких и молитв|.≉  ≈@Позиция, провозглашенная здесь Поэтом, это, быть может, некий недостижимый идеал, к которому должен стремиться всякий истинный поэт нового времени (см. выше замечание Вячеслава Иванова).
0А как он пел “|Выхожу один я на дорогу|”!
1Валльями куда больше интересуют| те, кто на той войне сражался|, и выжившие, с которыми он поддерживал длительные и близкие взаимоотношения.
1Во второй части цикла “Дамские два” женский образ обыгрывается через контаминацию различных сюжетов: ≉  |…Но дама с собачкой, увы, уже ни во что не верит, ≉ ее чему-то, да нет, ничему ≉ не научили жизненные потери, ≉ плюс – вот эта манера перевозить на дальние расстояния ≉ диван, чемодан, саквояж, ≉ картину, корзину, картонку… ≉ кроме того, сложилась привычка ждать писем, ≉ читать их, писать ответы, ≉ облизывать край конверта, ≉ как сделала бы собачонка|… ≉  (“Дамские два”) ≉ ≉    
1Казалось бы, несопоставимые тексты – рассказ Чехова “Дама с собачкой” и стихотворение Маршака (“|Дама сдавала в багаж|…”) – объединяют разве что внешне сходные образы “главных героинь”, а также канонический статус этих произведений в весьма различных сферах литературы (классическая русская проза и советская поэзия для детей).
1Как будто выхожу впервые≉ ≈|Пройду, как образ входит в образ         На эти улицы в снегу≉ ≈И как предмет сечет предмет|.
1Куда?≉ ≈С антикультурною основой≉ ≈|Он – под фашистским сапогом,≉ ≈Под гнетом власти безголовой,≉ ≈Его судьбой играть готовой –≉ ≈Стал человечеству врагом <…>≉ ≈Он, в чьих руках и плуг и молот≉ ≈Обогатить могли страну,≉ ≈Он обрекается на голод≉ ≈И на кровавую войну| <…>≉ ≈@@@@@ @@@@@@@@@@@(«Хей!
1Накануне описания пугачевских зверств в Белогорской крепости Пушкин счел нужным оговорить свое отношение ко всяким насильственным потрясениям.≉ ≈Оно останется неизменным до самого конца романа независимо от того, как сложится судьба самого Гринева, который совершенно однозначно припечатал действия Пугачева и его сообщников: «|Не приведи Бог видеть русский бунт, бессмысленный и беспощадный|!»≉ ≈Всего этого Пушкин не упускает из виду, когда для главы «Приступ» подбирает эпиграф из народной песни о казни стрелецкого атамана
1из народной песни о казни стрелецкого атамана:≉ ≈■≉ ≈|Голова моя, головушка,≉ ≈Голова послуживая!≉ ≈Послужила моя головушка≉ ≈Ровно тридцать лет и три года.≉ ≈Ах, не выслужила головушка≉ ≈Ни корысти себе, ни радости,≉ ≈Как ни слова себе доброго≉ ≈И ни рангу себе высокого;≉ ≈Только выслужила головушка≉ ≈Два высокие столбика,≉ ≈Перекладинку кленовую,≉ ≈Еще петельку шелковую|.
1Павел Зырянов, процитировав выдержки из публикаций 1916 года, после которых к Колчаку пришла всероссийская известность, приводит строки Анны Ахматовой:≉  ≈Молитесь на ночь, чтобы вам≉ ≈Вдруг не проснуться знаменитым…≉  ≉ А мог бы, на мой взгляд, вспомнить и Есенинское, из “Анны Снегиной”: “|Мы вместе мечтали о славе, но вы угодили в прицел…” В неожиданной всероссийской известности Колчака, как и во внезапной славе Есенина, который также появился на национальном горизонте внезапно – └беззаконной кометой в кругу расчисленных светил|┘, – было нечто, не подвластное уму.
1Павел Зырянов, процитировав выдержки из публикаций 1916 года, после которых к Колчаку пришла всероссийская известность, приводит строки Анны Ахматовой:≉  ≈Молитесь на ночь, чтобы вам≉ ≈Вдруг не проснуться знаменитым…≉  ≉ А мог бы, на мой взгляд, вспомнить и Есенинское, из “Анны Снегиной”: “|Мы вместе мечтали о славе, но вы угодили в прицел|…” В неожиданной всероссийской известности Колчака, как и во внезапной славе Есенина, который также появился на национальном горизонте внезапно – └беззаконной кометой в кругу расчисленных светил┘, – было нечто, не подвластное уму.
1Так было у Пушкина («|воскресли вновь и божество, и вдохновенье, и жизнь, и слезы, и любовь|»), у Толстого
1у Толстого («|Нет, жизнь не кончена в тридцать один год|»), у Блока.
1Перед| нами очень своевременная книга.≉ ≈И в самом деле, российское общество, привычно отвергающее коммунизм, но все более остро страдающее детской болезнью левизны, нуждается в культурно-политической азбуке, освоив которую можно будет научиться отличать “Ситуационистский интернационал|” от сюрреалистов, а байкеров от гопников.≉ ≈Персонажи и образы радикальной культуры Запада предстают перед нами во всем своем многообразии и оказываются в едином ряду с отечественными митьками, соц-артом и самиздатом.
1“|Болящий дух врачует песнопенье|”.
1“|Раззудись, плечо, размахнись, рука|!”;≉ В. и О. Твардовские.
2≉ ≈|Кто “сделает нам красиво|”?
2≉ ≈|Почему моя милиция меня не бережет| // МП.
0≉ ≈|Кого только не встретишь в этой соборной храмине: тонкошеих вождей и их жестоковыйных сподручных, дипломированных шаркунов, заезжих французиков из Бордо, партийных и литературных сановников, бывших следователей и их подопечных за одним освободившемся столиком в ленинградской распивочной| (Россия Достоевского, как-никак), титульных мемуаристов из числа свиты А.А.
2Вслед за |«словом как таковым|» последовала «буква как таковая», хотя «буква» и «звук» в научном понимании, разумеется, не соответствова ли «фонеме».
1Вслед за «|словом как таковым|» последовала «буква как таковая», хотя «буква» и «звук» в научном понимании, разумеется, не соответствова ли «фонеме».
1– ≉ ≈|Я то же, что и был, и буду весь мой век:≉ ≈Не скот, не дерево, не раб, но человек!≉ ≈Дорогу проложить, где не бывало следу,≉ ≈Для борзых смельчаков и в прозе и в стихах,≉ ≈Чувствительным сердцам и истине я в страх≉ ≈В острог Илимский еду|.≉ ≈■≉ ≈Следом поехали декабристы, тоже не весьма хорошо державшиеся на следствии.
2: «|Ты хочешь знать, кого я ненавижу?|
1: «|Ты хочешь знать, кого я ненавижу|?
1“ └|Латынь ┘ └из моды вышла ныне|…┘” [Пушкин].
1“|Вышли мы все из народа|” и наследуем народу.
1“|Однажды, в студеную зимнюю пору|…” Копия!
1“|С меня довольно сего сознания|” .
1“|Скучно на этом свете, господа|!” ≉ В этих последствиях, наступивших из-за неразумного и злого обращения с письменным словом, и есть, по нашему мнению, основной смысл гоголевской повести.
1“|Ты сам свой высший суд|”, — говорит себе Лимонов и пишет.
1“Хват”, “|слуга царю, отец солдатам|” (вполне реалистические характеристики)
1“|Хоть поздно, а вступленье есть|”…≉   ≈	Пой, лира!
1“|Я берег покидал туманный Альбиона|…”: Русские писатели об Англии.
1“|Я памятник себе воздвиг нерукотворный|…”≉ ■≉          Сегодняшние битвы за память продолжают дело, начатое реальным сталинизмом (или в более широком смысле - государственным социализмом), а именно: размывание исторического блока (в обозначенном грамшианском смысле) интеллигенции и “народа”.
1“|Я хочу видеть этого человека|…” Попытка истолкования “образов двойного зрения” в поэме Есенина “Пугачев”.≉ ≉ Рейнгольд Н. Редингский бювар с письмами Бунина – 6.≉ Эпштейн М.
1«|Вышли мы все из народа|…» ≉ Но более правдоподобно, кажется, что власть – как это вообще всегда было характерно для России – более цивилизованна, чем массы.
1«└|Самостоянье человека – залог величия его|┘», – подумал я с радостью.
1≉ ≈“|И явится весомо, грубо, зримо|…” // МП.
1≉ ≈“|Не спи, не спи, художник|” // СК.
1≉ ≈“|Хотелось бы всех поименно назвать|…” // МП.
1≉ ≈“|Хотелось бы всех поименно назвать|” // МП.
1≉ ≈“|Чтобы плыть в революцию дальше|…” // СК.
1≉ ≈“|Я волком бы выгрыз бюрократизм|…” // П. 9.9.
1≉ ≈|Вышли мы все из народа| (подзаголовок).
1≉ ≈|Из реки по имени Факт| // СК.
1≉ ≈|Какое, милые, у нас тысячелетье на дворе|?
1≉ ≈|Кто более матери-истории ценен|?
1≉ ≈|Мы – дети страшных лет России|, все сожалеем о них // К.
1≉ ≈|Наше знанье, сила и оружие| // И.
1≉ ≈|Не пустой для сердца звук|…: Исполнилось 80 лет Пушкинскому дому АН СССР // КП.
1≉ ≈|Поэтом можешь ты не быть|, но фининспектору обязан // КП.
1≉ ≈|Ты жива еще, моя старушка|?
1≉ ≈|Чтобы плыть в революцию дальше| // КП.
1≉ ≈|Чтобы плыть в революцию дальше| // СК.
1≉ ≈|Чтобы плыть в революцию дальше|: Рассказ о двух коммунистах, в чьих судьбах отражается судьба нашего народа // МП.
1≉ ≈|Чтобы плыть в революцию дальше|?
1≉ ≈|Чтобы плыть в революцию дальше|… // СК.
1└|Мало слов, а горя реченька|.┘ Томск, 1997.
1└|Однажды в студеную зимнюю пору|… ┘// Крокодил.
1┘“|Минуй нас пуще всех печалей|…”: Из истории советской драматургии // Современная драматургия.
1≈…|совесть, Когтистый зверь, скребущий сердце, совесть, Незваный гость, докучный собеседник, Заимодавец грубый, эта ведьма|… @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ └■■■■■Реплика Барона из «Скупого рыцаря»┘ 
2 .≉   ≈■≉ ≈Давно замечено, что в пушкинской трагедии звучит пророческая угроза в адрес царя Бориса:≉ ≈■≉ ≈|И не уйдешь ты от суда мирского, ≉ ≈Как не уйдешь от Божьего суда|.≉ ≈■≉ ≈Ее произносит Григорий Отрепьев.
1А еще - просто о том, как |жил старик со своей старухой у самого синего моря|… 
1Начинается она со стихотворения-эпиграфа:≉ ≈■≉ ≈|Ни времени ни пространства≉ ≈Лишь скорбная воля≉ ≈Да терпеливая вера звериная≉ ≈<…>≉ ≈В то, что победа встанет на пороге≉ ≈В то, что наши возмутительные боги≉ ≈Вдруг возьмут да и заглянут≉ ≈К нам на огонек≉| ≈■≉ ≈
1≈■≉ ≈Далее – стихотворения с традиционными для Летова мотивами обреченности и потерянности, а потом – сложное чередование мотивов до самого конца книги, до стихотворения «|Забота у нас такая…|», которое возвращает к началу, но на новом уровне:≉ ≈■≉ ≈
1≉ ≈■≉ ≈|Бережет зима своих мертвецов≉ ≈Стережет своих гостей теремок≉ ≈Лишь одно для нас с тобою – ремесло≉ ≈@@@@ Радуга над миром≉ ≈@@@@ Радуга над прахом≉ ≈@@@@ Радуга над кладбищем≉ ≈@@@@@@@@ @@@@@@ Негасимый апрель|≉ ≈■≉ ≈Все тексты датированы, и из их сопоставления очевидно, что принцип составления – не хронологический, но смысловой.
2Кошелев о поэтических вкусах Тургенева: “Та “|школа гармонической точности|”, венцом которой стала лирика Пушкина, представлялась ему последним и окончательным словом в русской поэзии – и он “вычищал штаны” Фету именно с этой установкой” (с.
1Он определенно не хочет быть «|Иваном, не помнящим родства|», и делает все для того, чтобы такими не стали его дети и внуки.≉ Вычеров пишет такие коротенькие зарисовки -- от половины до двух страниц, редко больше.
1Если их литературный прототип был “|с Пушкиным на дружеской ноге|”, то в новой российской действительности важнее поведать о своей близости человеку власти.
2Правда, там же он замечает, что |«крестьянин в законе мертв|».
1Правда, там же он замечает, что «|крестьянин в законе мертв|».
1С тяжелой руки Станислава Куняева (“|Добро должно быть с кулаками|”) и стоящей за ним “русской партии” Есенина торжественно возвели в новый чин - персонифицированную национальную идею, в результате чего он и оказался в пантеоне неприкасаемых.
1Только по эпиграфу из пушкинского “|Жил на свете рыцарь бедный|” (“А.
2П. Керн», «Мадона», «Странник», «Ангел», «|Жил на свете рыцарь бедный…|» и др., открывают прекрасное, идеальное и, возвышая душу, приближают к Богу.
1П. Керн», «Мадона», «Странник», «Ангел», «|Жил на свете рыцарь бедный|…» и др., открывают прекрасное, идеальное и, возвышая душу, приближают к Богу.
1И если в ней он “|был и остается лучшим, талантливейшим поэтом|”, то это означает лишь то, что Пригов именно остается.
0Тогда мы, пронзенные одною мыслью, |бросаемся в храм Труда и Творчества|, и он зажигает свитки, и огонь с дикою стремительностью охватывает комнату.
1У него легко узнаваемая одежда (“|треугольная шляпа / И серый походный сюртук|”: известное, сообщаемое как будто впервые, - особая условность, которая свойственна жанрам словесности, связанным со смертью, когда об умершем надо сказать не что-то оригинальное, а банальность, которая, однако, звучала бы не банально, но глубокомысленно и прочувствованно), подобно живому человеку “к рулю он садится”, хотя этот корабль в рулевом не нуждается (сидящий за штурвалом император - образ явно неудачный, но “проскальзывающий” в нашем восприятии, как многое у Лермонтова, под воздействием мощной эмоциональной волны), при виде “земли родной” его чувства выражаются обычным человеческим способом (“Опять его сердце трепещет / И очи пылают огнем”), у него громкий и грозный голос.
1А вот Пушкин, писавший, что “|мы все учились понемногу чему-нибудь и как-нибудь|”, стал самым цельным образцом культуры, все в себя впитавшей.
1Более того, образ недвижного тела (“|С свинцом в груди лежал недвижим я|” [21]) напоминает о детерминистском космосе более поздних пушкинских текстов, где уход и резиньяция “Я вас любил…” соответствуют нарративу разрушительной силы ожившей статуи и при этом искупаются элегическим воспоминанием.
1Добролюбова», – и опять же недоумеваешь: «|Какое, милые, у нас тысячелетье на дворе|?» И■чем-то давнопрошедшим веет от повествований о том, что в преддверии своего столетнего юбилея ОЛРС не когда-нибудь, а «в развивающихся революционных событиях на рубеже веков пыталось осознать значимость литературы в этом процессе» (с.
1Когда к берегу пристает корабль, “|из гроба тогда император, / Очнувшись, является вдруг|”, и камень не упоминается больше, императору он не помеха.
1Лейтмотивом через роман проходит клятва: “|Бороться и искать, найти и не сдаваться|!” 
1Эта клятва и обещания перекликаются с клятвой и обещаниями Гамлета отомстить за отца: “|Мой клич отныне: “Прощай, прощай|!
1Теперь, слава Богу, не запрещают, |но советская власть придавала «дыр бул щыл|» статус свободолюбия.≉ ■≉ Р.Д.
0Якубовичем в его рецензии на “|Вечера” в “Литературных прибавлениях к Русскому Инвалиду|” (1831.
1его “Сад”) и отсылки к “Двенадцати” Блока (|└Что нынче невеселый,┘ /└ Товарищ поп?|┘)■— примиряющее с └товарищем, красным партизаном ┘и └танком┘ (на котором, согласно анекдоту, советский■человек выезжал на отдых за границу, 
1а зека Лимонов планирует отправиться с юной возлюбленной за мороженым):≉  |≈Когда-нибудь, надеюсь, в ближайшем же году Я к маленькому панку с улыбкой подойду≉ ≈Долго мы не виделись, товарищ панк, Пойдемте, погуляем (не против? |
1Нет, не дядя Степа, но «|Жили три друга-товарища в маленьком городе N|».
2Но он зря заостряет проблему, утрирует ее ироническим вопросом |“А был ли “Гамлет|”-то?” (с.
1Но он зря заостряет проблему, утрирует ее ироническим вопросом “|А был ли “Гамлет”-то|?” (с.
1Это о нем сказано позже: “|Неужели и жизнь отшумела, / Отшумела, как платье твое|?”≉ Дар Блока не только в том, что он осознавал и формулировал, – он и в том, что поэт отрицал в себе.
1Я бы открыла ее пушкинским “…|Нева металась как больной в своей постели беспокойной|”, 
1а завершила бы генделевским: “|озноб как мальчикказачок бежал висеть на удилах его словесности|”.
1Вспомним Пушкина - новая власть побеждает, |когда она сильна не «польскою подмогой», а «мнением народным|».
1Открывая ее, автор цитирует Пушкина: “|Следовать за мыслями великого человека есть наука самая занимательная|”.
1Полностью эта надпись звучит так:≉ ≈“|Победителю-ученику от побежденного учителя в тот высокоторжественный день, в который он окончил свою поэму Руслан и Людмила|.
0Это, как правило, были люди, |окончившие курс университета до революции, учившиеся у классиков “старой|” медиевистики; кто-то из них успел опубликовать свои первые работы еще до 1917 года 13 .
1Напрочь игнорировали нужды народа (или “общества”), не хотели делиться, жили “|под собою не чуя страны|”, за что, в конце концов, и бывали изгоняемы.
2Напрочь игнорировали нужды народа (или “|общества”), не хотели делиться, жили “под собою не чуя страны|”, за что, в конце концов, и бывали изгоняемы.
1Характерно, что Карамзин, первоначально утверждавший, что главное дело – быть людьми, а не славянами, впоследствии подчеркивал: “|Самодержавие есть палладиум России, по причине пристрастия к нему русского народа|.
1Прямо по гоголевской Агафье Тихоновне: “|Если бы губы Никанора Ивановича да приставить к носу Ивана Кузьмича|…” ≉ Случаи, когда одни и те же статьи учитываются дважды в разных разделах пособия, встречаются неоднократно.
1должен срочно уйти в отставку", "|Вы, жадною толпой стоящие у трона|, руки прочь от Гдляна и Иванова".
1Не люблю запоздалых сенсаций и “естественных мыслителей”… Все сочиненное Платоновым не стоит одного “|Дыр бул щыл▓а|”…” (с.
0И так до тех пор, |пока из их народа не вышел Христос 6 ,– но тут уже начинается новая история|.
1Яркие примеры - строка П. Когана “|Я с детства не любил овал|…” 
1и светловское “изобретение” “|Добро должно быть с кулаками|”… Сколько они породили новых самостоятельных произведений!
1Я привожу оттуда формулировку теории: ≉ “…|известно, что слова склоняются по падежам своим концом|… 
0|Слыхал ли ты, однако, про внутреннее склонение слов|?
2Так, например, известный текст песни «|Жил-был у бабушки серенький козлик»| был переосмыслен П. Ряполовским в таком виде:≉  ≈Жил-был у бабушки≉ ≈Серенький козлик,≉ ≈Вот так, вот сяк!≉ ≈Серенький козлик.≉ ≈Захотелося козлику≉ ≈В лес пойти гулять.≉ ≈Вот так, вот сяк,≉ ≈В лес пойти гулять…≉ ≈ПРИПЕВ≉ ≈Вот так≉ ≈Тюфяк!≉ ≈Вот так≉ ≈Чудак,≉ ≈Вот так≉ ≈Казак!≉ ≈Вот так≉ ≈Тесак [38] .
1Так, например, известный текст песни «|Жил-был у бабушки серенький козлик|» был переосмыслен П. Ряполовским в таком виде:≉  ≈Жил-был у бабушки≉ ≈Серенький козлик,≉ ≈Вот так, вот сяк!≉ ≈Серенький козлик.≉ ≈Захотелося козлику≉ ≈В лес пойти гулять.≉ ≈Вот так, вот сяк,≉ ≈В лес пойти гулять…≉ ≈ПРИПЕВ≉ ≈Вот так≉ ≈Тюфяк!≉ ≈Вот так≉ ≈Чудак,≉ ≈Вот так≉ ≈Казак!≉ ≈Вот так≉ ≈Тесак [38] .
1Последний куплет, как и в “Улице Мира”, имеет особенно выраженный сказочно-фантастический характер:≉ ■≉    |Как дальний наш друг неназванный ≉ Из сказок и звездных снов,≉ Взывает к братьям по разуму≉ Разум иных миров|.≉ ■≉    Эти строки – вершина отказа от национального дискурса.
