pos/neg#beginning#ending#id#filename#sentence
1#36#44#92147104#nlo_2009_97_cha17.html#Стоит вспомнить сравнение времен присоединения пермских земель к Московскому княжеству в исторических романах А. Иванова, постоянное совмещение черт “|века нынешнего” и “века минувшего|” в произведениях Б. Акунина (иногда совершенно демонстративное), внезапное возрождение Гражданской войны в ближайшем будущем, описанное в романе Ольги Славниковой “2017”.
0#33#44#70416502#nlo_2009_97_cha17.html#Все это “индивидуальное” осмысление истории происходит на фоне государственной пропаганды, учредившей праздник 4 ноября с намеком на| то, что нынешняя элита так же| “преодолела смуту”… ≉ Впрочем, надо иметь в виду, что отношение к идее цикличности истории у самого Юзефовича – отнюдь не однозначное.
1#1#11#26930278#voplit_2010_1_ch9.html#“|Тоска по родине - давно / Разоблаченная морока|?” Тоска, конечно, была (правда, как все в Цветаевой, └особая┘).
0#6#20#8618320#voplit_2010_1_ch9.html#Вспомним ее признание, |сделанное, впрочем, много раньше, но, судя по всему|, не отмененное прожитыми годами: “Россия для меня <…> почти тот свет” [7] .≉ ≈Россия, родина, “тот свет” - понятия, образующие у Цветаевой единый смысловой ряд.
1#11#22#52170927#nlo_2007_85_bl40.html#Здесь важнейшим моментом является отрицание самодостаточности| исторического “факта”, не имеющего иной данности|, кроме данности текстовой.
0#17#35#8034265#nlo_2007_85_bl40.html#Историк “политический и гражданский” в своих “стремлениях к истине| и исторической достоверности” “редко выходит полным победителем, — утверждает А. |Котляревский.
1#4#12#60555267#nz_2005_42_re22.html#Ее авторы, «|широко известные в узких кругах|» советологи Андрей Шлейфер и Даниел Трейзман, базируясь на простых и прямолинейных, как сознание среднего американца, аргументах, доказывали, что российские реформы идут в единственно верном направлении, а сама Россия неумолимо становится «нормальным государством со средним достатком».
0#4#20#6579559#nz_2005_42_re22.html#Для страны, «|не далее чем пятнадцать лет назад бывшей “империей зла|”, […] - это достижение, поистине достойное восхищения», писали Шлейфер и Трейзман.
1#34#54#7509838#voplit_2005_3_sili7.html#Он и стихи свои читал монументально, размеренно ударяя по каждому слову так, будто забивал сваи тяжелой деревянной “|бабкой”:≉ ≈Старух было много,≉ ≈Стариков было мало.≉ ≈То, что старух гнуло|, ≉ ≈Стариков ломало.≉ ≉ Нам не всегда удавалось подбить его на чтение своих стихов.
0#45#90#2895836#voplit_2005_3_sili7.html#На память он помнил плохо, с записной книжкой или просто со сборником опубликованных стихов не ходил.≉ Трудно сказать, как он общался с другими| поэтами вне нашей мастерской, но у нас, сидя за столом или расхаживая по мастерской, был очень деликатен, вежлив и снисходителен.≉ Был поэт, который| являлся нашим близким другом и вырос в профессионального хорошего поэта буквально у нас на глазах.
1#0#8#8666446#voplit_2005_3_sili7.html#|Это была его вторая смерть|.
0#3#11#34173425#voplit_2005_3_sili7.html#Но и| она не самая страшная.|
1#16#42#80804315#voplit_2005_4_bab19.html#Или еще один пассаж из того же произведения: «|Никакое железо не может войти в человеческое сердце так леденяще, как точка, поставленная вовремя|».
0#27#45#2730542#voplit_2005_4_bab19.html#≉ ≈Уместно в этой связи привести фрагмент из воспоминаний Льва Славина: «С годами Бабель <|… > стал писать проще <…> Он избавлялся от стилистических преувеличений.|
1#45#108#7477097#nlo_2003_64_pros22.html#≉ ≈На самом деле все эти «обстоятельства» – лишь подступы к другому доказательству, которое Майков считал «более веским» и припрятал как козырь: «В экземпляре “|Опытов”, бывшем в руках Пушкина, обе части переплетены в одну книгу, и на белом листе, находящемся перед заднею доскою переплета, вписано рукою Пушкина известное стихотворение Батюшкова:≉ Есть наслаждение и в дикости лесов…|≉ ■≉ ≈<…> в печати <…> оно появилось только в 1828 году в └Северных Цветах┘, впрочем, еще года за два перед тем оно стало известно друзьям больного поэта (Вяземский вписал его, как свежую новость, в свою записную книжку в июле 1826 года).
0#12#21#87956813#nlo_2003_64_pros22.html#Что же касается Пушкина, он мог |узнать эту пиесу лишь несколько |позже.
1#0#8#80864220#nlo_2003_64_pros22.html#|ты сильней / Рассудка памяти печальной|» и т. д.).
0#13#26#2407866#nlo_2003_64_pros22.html#В портрете Ольги Пушкин демонстративно соединит └все|┘ батюшковизмы – и композицию, и лексический ряд, и| рифмы.
1#42#52#38842213#nlo_2003_64_pros22.html#С другой стороны, к Батюшкову старательно подстраивается «южный» Пушкин: «На море легкий пал туман» – это вариация второго стиха первой «крымской» элегии: «└|На море синее вечерний пал туман|┘»; «И дышит сладострастна нега» – полуцитата из финальной части «Бахчисарайского фонтана» (известного Раичу в рукописи): «└Еще поныне дышит нега…┘» Наконец, └Киприда┘, выжимающая пену из шелковых влас, – лишь слегка замаскированная пушкинская └Нереида┘ («И пену из власов струею выжимала»).
0#45#56#1802447#nlo_2003_64_pros22.html#@ ≉ ≈«Усечения» в сознании обоих поэтов определенно связываются с Пушкиным, возникают в ряду с откровенными «пушкинизмами»@ (при том, что в пушкинских стихах|, к которым они отсылают, никаких «усечений|» вообще не было!).
1#4#37#62057372#nlo_2003_64_pros22.html#Напротив стихов:≉ ≈ |И гордый ум не победит≉ ≈ Любви, холодными словами.≉ ≈■≉ ≈– помечено: «└Смысл выходит – холодными словами любви – запятая не поможет|┘» (XII, 263).≉ ≈Эти пометы очень важны для понимания эволюции пушкинских взглядов на проблемы поэтического синтаксиса.
0#10#20#1430705#nlo_2003_64_pros22.html#Те направления русской поэзии, которые |ориентировались на «легкость» и «плавность», к| стиховому переносу традиционно относились с настороженностью и неодобрением.
1#42#50#6520184#voplit_2010_1_ma18.html#Вероятно, по примеру одного старого писателя (А. Никитенко) я бы мог их назвать "Моя повесть о самом себе и о том, "|чему свидетель в жизни был|"".
0#11#36#3885934#voplit_2010_1_ma18.html#Но - с одной существенной оговоркой: указанные| тексты не претендуют на жанровую законченность повести; это просто отдельные эпизоды и зарисовки|.
1#138#146#37904890#voplit_2010_1_ma18.html#По прямому указанию Сталина развертывается не знающее пощады наступление на "безыдейность", "мелкотемье", "преклонение перед Западом", "антигражданственность", "отход от реальности", "искажение советской действительности", "нездоровый интерес" к интимной сфере и т. д. и т. п. Жданов выступает с докладом, в котором громит Зощенко, Ахматову, а заодно и всех, кто попался под руку, вроде Хазина, написавшего сатиру по мотивам "Евгения Онегина".≉ ≈В том же году издается постановление ЦК ВКП(б) "|О журналах "Звезда" и "Ленинград|"", изданиях, которые признаются прибежищем всех только что обозначенных грехов.
0#41#58#4195463#voplit_2010_1_ma18.html#Констатируется, что в городе на Неве нет в настоящее время достаточного количества "здоровых" сил, а потому один журнал, "Ленинград", велено закрыть|, а в другом, в "Звезде", - перетряхнуть весь аппарат и| назначить нового главного редактора.
