13 (В. Кожемяко).≉ ≈|Если звезды зажигают, значит, это кому-нибудь| нужно // МП.
1Николай жил злобой дня, сегодняшним днем, своим правлением, которое ему, как всякому правителю с тоталитарным складом души и поведения, казалось вечным, ведь тоталитаризм антиисторичен, сегодняшнюю минуту рассматривая как вечность.≉ ≈Пушкин давал урок истории русскому царю:≉ ≈■≉ ≈|Уже давно между собою≉ ≈Враждуют эти племена;≉ ≈Не раз клонилась под грозою≉ ≈То их, то наша сторона.≉ ≈Кто устоит в неравном споре:≉ ≈Кичливый лях, иль верный росс?≉ ≈Славянские ль ручьи сольются в русском море?≉ ≈Оно ль иссякнет|?
1Ежели предписания сии будут классические, то и исполнение должно быть классическим, а если предписания будут реальные, то и исполнение должно быть реальное».≉ ≈Об эту пору трудно избежать искушения и не погрузиться в блаженный покой, повторив: «|Зависеть от царя, зависеть от народа|?
1Биография, автобиография, жизнь (К портрету Всеволода Иванова) – 6.≉ Сливкин Е. Катарский миф о небесном двойнике в драме Александра Блока “Роза и крест” – 4.≉ Халфин Ю. Лики ахматовской музы – 3.≉ ≉ ПОЛЕМИКА≉ ≉ 1:≉ От редакции;≉ Максименков Л. “|Не надо заводить архива, Над рукописями трястись|”■[?
1Но в чуть более ранних письмах сочетанию «эко-худ» соответствует иное — «эко-эз», что, обозначая на языке Крученых «экономия — поэзия», «самая всеобщая и краткая (заумная) поэзия» 72 , разительно напоминает о том, что именно слогом «эз» заканчивалось «|Дыр бул щыл|».
1Случай с “Филантропом” интересен тем, что имеются документы, позволяющие более-менее подробно проследить возникновение слуха о скрытом смысле произведения и его направленности.≉ ≈10 января 1860 года Некрасов должен был читать на вечере в пользу нуждающихся литераторов стихотворения “|Еду ли ночью по улице темной…|” и “Филантроп”, о чем было заранее объявлено.
1Например, за то что не был православным журналом, или за то, что многие его авторы верили в возможность социализма с человеческим лицом.≉ В свое время, кажется, Зиновий Самойлович Паперный следующим образом переиначил известную песню: “Отречемся от “└|Нового┘ мира”, отряхнем его прах с наших ног|…” Сказано это было в период очередной идеологической проработки журнала и, понятно, словно от лица его недоброжелателей.
1Например, написать “|Чуден Днепр при тихой погоде|”.
1Например, порассуждав о политических подтекстах “Путаницы” Чуковского, он резюмирует: “|Если бы вы знали, дети, холод и мрак грядущих дней…|” (с.
1Напротив стихов:≉ ≈ |И гордый ум не победит≉ ≈ Любви, холодными словами.≉ ≈■≉ ≈– помечено: «└Смысл выходит – холодными словами любви – запятая не поможет|┘» (XII, 263).≉ ≈Эти пометы очень важны для понимания эволюции пушкинских взглядов на проблемы поэтического синтаксиса.
1Напрочь игнорировали нужды народа (или “|общества”), не хотели делиться, жили “под собою не чуя страны|”, за что, в конце концов, и бывали изгоняемы.
1Начало такому дискурсу положил сам поэт в стихотворении “|Я памятник себе воздвиг нерукотворный…|”.
1Начинается она со стихотворения-эпиграфа:≉ ≈■≉ ≈|Ни времени ни пространства≉ ≈Лишь скорбная воля≉ ≈Да терпеливая вера звериная≉ ≈<…>≉ ≈В то, что победа встанет на пороге≉ ≈В то, что наши возмутительные боги≉ ≈Вдруг возьмут да и заглянут≉ ≈К нам на огонек≉ ≈■≉ ≈Далее – стихотворения с традиционными для Летова мотивами обреченности и потерянности, а потом – сложное чередование мотивов до самого конца книги, до стихотворения «Забота у нас такая…|», которое возвращает к началу, но на новом уровне:≉ ≈■≉ ≈Бережет зима своих мертвецов≉ ≈Стережет своих гостей теремок≉ ≈Лишь одно для нас с тобою – ремесло≉ ≈@@@@ Радуга над миром≉ ≈@@@@ Радуга над прахом≉ ≈@@@@ Радуга над кладбищем≉ ≈@@@@@@@@ @@@@@@ Негасимый апрель≉ ≈■≉ ≈Все тексты датированы, и из их сопоставления очевидно, что принцип составления – не хронологический, но смысловой.
1Не быт становится истоком для более тонкого и глубокого понимания творческого процесса поэта, а, напротив, творчество Ахматовой приобретает в тексте Тименчика статус комментария для того сора, из которого «|растут стихи, не ведая стыда|».
1Не видно литературы - в исконно русском понимании этого слова, в смысле: “|Поэт в России больше, чем поэт|”.≉ Нет репортажной журналистики - не считать же таковой коктейль из хроники официальной, хроники светской и хроники криминальной?≉ Нет, впрочем, и аналитики - кроме итоговых еженедельных программ под общим названием “Не ваше собачье дело!”.≉ Нет общенациональной дискуссии по животрепещущим темам, кроме разве телевизионных ток-шоу, в которых форма давно уже подменила содержание: очки начисляются за “технику” и за “артистизм”, а отнюдь не за логику и аргументацию.
1Не возвращает ли это нас в скрытой форме к изначально отвергнутому аргументу о загадочной народной душе, которая сидит на печи до поры до времени, но уж скоро проснется, |и тогда «раззудись, плечо, размахнись, рука|»?≉ Тему нациестроительства продолжает Андрей Коробков, который рассматривает историю миграционной политики США, ее современные проблемы и попытки законодательного и институционального реформирования на современном этапе.
1Не люблю запоздалых сенсаций и “|естественных мыслителей”… Все сочиненное Платоновым не стоит одного “Дыр бул щыл▓а|”…” (с.
1Не можем ответить и мы.≉ ≈…|А вдруг кто-то оказался предусмотрительнее нас и успел за два остававшихся до смерти автора года задать ему тот самый вопрос о Дергаче: вымысел или правда?≉ Каждый пишет, как он слышит, или О поэтической генеалогии|≉ ≈Вопросам психологии творчества посвящены многие тома.
1Не помню его рукопожатия, но что-то родное и близкое сверкнуло для меня в этом пожилом, но еще не старом (|ему было 62 года) человеке в кожаной| тужурке.
1Не правда ль?” У Сальери, который повторяет ту же фразу после совершенного им злодеяния, тире перед предикативным определением отсутствует: он словно проборматывает Моцартову максиму, словно начинает вдумывается в ее смысл, пытаясь не впасть в надвигающееся паническое состояние: “ужель он прав?”, стараясь стряхнуть с себя паническое наваждение: “|Гений и злодейство / Две вещи несовместные|.
1Не связанный никаким образом с “совершенным миром”, с платоновской беседой мудрецов, сам “хохочущий” пир сливается с “тяжким гнетом” чумы.≉ Это ощущение обезбоженного мира Блок позже развивает не только в образе перверсного пира в известных строках “Незнакомки” (“|И пьяницы с глазами кроликов / “In vino veritas|” кричат”), но и в написанной через два года после “Незнакомки” статье “Ирония”26■.
1Не случайно в одном раннем стихотворении поэт так перефразировал сразу два знаменитых фрагмента из| Пушкина: “Здравствуй, племя / младое, незнакомое|.
1Не случайно здесь дается аллюзия на “хрестоматийные” строки: “|Царей и царств земных отрада, / Возлюбленная Тишина|” – так начинает Ломоносов одну из своих самых известных од – “Оду на восшествие на престол… 1747 года”.
1Не сразу и разберешься, что мысль, выраженная в этом пассаже, аналогична пушкинскому восклицанию в шестой главе “|Онегина”: “Вперед, вперед, моя исторья|!” ≉ ≈Или: “Не подлежит сомнению, что проблематизирование события и его начала происходит по линии его онтологического статуса…” (с.
1Не это ли он имел в виду, заканчивая «|Онегина» словами:≉ ≈■≉ ≈Блажен, кто праздник жизни рано≉ ≈Оставил, не допив до дна≉ ≈Бокала полного вина,≉ ≈Кто не дочел ее романа≉ ≈И вдруг умел расстаться с ним,≉ ≈Как я с Онегиным моим 40|■ .≉ ≈■≉ ≈Хочется думать, что Пушкин ошибался, что его ожидала не старость, а полная зрелость и что он, судя по его сохранившимся замыслам, был накануне создания новых замечательных произведений.
1Недаром они перекликаются с признанием поэта , Автора “Евгения Онегина”: “|Мой идеал теперь – хозяйка, / Мои желания – покой, / └Да щей горшок, да сам большой|┘”!
1Недаром пушкинский герой заканчивает свой монолог беспощадным приговором не «|другим», а себе: ≉ ≈■≉ ≈Да, жалок тот, в ком совесть нечиста|.
1Некоторые из наших респонденток пытались какое-то время честно исполнять обязанности «|верной супруги и добродетельной матери|»: отступать на второй план и держаться в тени мужа, погрузиться в мир домашних забот.
1Некоторый свет на непростые взаимоотношения Виктора Некрасова и Владимира Максимова проливает недавняя публикация переписки Сергея Довлатова с Виктором Некрасовым, где последний в ряде писем сетует на излишнюю обидчивость В. Максимова, называет его “|немыслимо ранимым” 2■ борцом за идею| (это – в слегка ироническом ключе), втянутым во внутренние конфликты эмигрантской среды.
1Нельзя здесь не заметить, что дворянским правам dejure было всего пять лет к тому моменту: с выхода в 1785 году «|Жалованной грамоты» Екатерины.≉ ≈Конечно, это была идеализация простого народа, которой избежали в начале XIX века только Пушкин и Гоголь (дядя Митяй и дядя Миняй в «Мертвых душах|», не говоря уж о Селифане и Петрушке).
1Непомнящим просто на свете”|.≉ ┘ – Мы действительно оказались в положении Ивана, не помнящего родства|.
1Несколько объяснений выдвигает М. Амирханян к словам Гасуба, проклинающего невоинственного, гуманного сына, возможно, ставшего христианином, в неоконченной горской поэме Пушкина «Тазит>»: «|Ты трус, ты раб, ты армянин|».
1Несмотря на то, что все понимают, что “биография писателя в покрое его языка”, магическая формула “|ниоткуда, с любовью, надцатого мартобря|” мало что говорит читателю или исследователю о жизни поэта как череде конкретных событий.
1Несомненно, у нас нет доказательств того, что она может быть применима| к «Дыр бул щыл|», написанному ранее.
1Нет, не дядя Степа, но «|Жили три друга-товарища в маленьком городе N|».
1Неужели| в самом деле все сгорели карусели и, кроме └текстов|┘ (официальных и неофициальных), остался только блатной язык?
1Нечто близкое можно увидеть на либерал-демократе Владимире Жириновском (Долинский)|.≉ ≈└Графиня изменившимся лицом бежит пруду|┘.
1Николай жил злобой дня, сегодняшним днем, своим правлением, которое ему, как всякому правителю с тоталитарным складом души и поведения, казалось вечным, ведь тоталитаризм антиисторичен, сегодняшнюю минуту рассматривая как вечность.≉ ≈Пушкин давал урок истории русскому царю:≉ ≈■≉ ≈|Уже давно между собою≉ ≈Враждуют эти племена;≉ ≈Не раз клонилась под грозою≉ ≈То их, то наша сторона.≉ ≈Кто устоит в неравном споре:≉ ≈Кичливый лях, иль верный росс?≉ ≈Славянские ль ручьи сольются в русском море?≉ ≈Оно ль иссякнет|?
1Но «|Роняет лес багряный свой убор…|» (пропел очень точно первую фразу) – это… Романсы Глинки, Рубинштейна – это: Пушкин и Рубинштейн, Пушкин и Глинка, а Свиридов – это Пушкин и Пушкин!
1Но в душе я прекрасно отдавал себе отчет, что тема поэта и толпы существовала еще до советской власти, как, впрочем, и тема тюрьмы, психбольницы («|не дай мне Бог сойти с ума|»), посоха и сумы — то есть эмиграции.
1Но в чуть более ранних письмах сочетанию «эко-худ» соответствует иное — «эко-эз», что, обозначая на языке Крученых «экономия — поэзия», «самая всеобщая и краткая (заумная) поэзия» 72 , разительно напоминает о том, что именно слогом «эз» заканчивалось «|Дыр бул щыл|».
1Но вместе с тем, это одновременно и └бунтари┘, с элементом фатального сверхчеловечества, в большей или меньшей степени (таковы люди эпохи Возрождения, таковы мудрецы греческой философии) и неизбежно – представители определенного └господствующего класса┘, в рамках которого они действуют (опять же – в большей или меньшей степени), ибо они должны и └отделить себя ┘от “|русского бунта, бессмысленного и беспощадного|”, и не только русского: тайпины и жаки – не лучше.
1Но все-таки не может не привлечь внимания, что термины и примеры, которыми в это время оперирует Крученых, |разительно напоминают слова и строки «Дыр бул щыл|» и других стихотворений триптиха.
1Но даже воевода Басманов, благодарный наследнику Годунова Феодору: «Он для меня презрел и■чин■разрядный,■/■И■гнев■бояр…»■–■изменит присяге, прислушавшись к доводам посланника самозванца Гаврилы Пушкина:≉ ≈■≉ ≈Но знаешь ли чем| сильны мы, Басманов?≉ ≈Не войском, нет, не польскою подмогой,≉ ≈А мнением; да|!
1Но ее легко можно почувствовать, вспомнив классика: “|Дни мчались; в воздухе нагретом / Уж разрешалася зима; / И он не сделался поэтом, Не умер, не сошел с ума|”.
1Но если разрушена индивидуальная жизнь, то невозможна и общая: ≉ ≈■≉ ≈|Мы живем, под собою не чуя страны,≉ ≈Наши речи за десять шагов не слышны… [15|] ≉ ≈■≉ ≈Именно с этих строк начинается антисталинский манифест Осипа Мандельштама, стоивший ему жизни.≉ ≈Неадекватность коллективизации сознания в дифференцирующемся обществе становится все более очевидной по мере распада советского проекта.
1Но если, читая Болмата, Носова, Пелевина, ни на секунду не забываешь, что перед тобою не более чем искусство слова – остроумные, изобретательно написанные, прихотливо выстроенные и все же выдуманные истории о выдуманных людях, то текст Рубанова при всех своих композиционных изысках заставляет вспомнить исцитированное, затасканное, как арестантская роба, но оттого не переставшее быть точным: |тут кончается искусство и дышат почва и судьба|.≉ ≈Добавьте сюда внятную этическую позицию, выстраданную жизненную философию, наконец, прелюбопытные социально-философские рассуждения о том, кто мы такие, что с нами произошло за последние лет пятнадцать, что с людьми делает эпоха перемен – это лучший литературный дебют за эти пятнадцать лет, безусловно.≉ ≈Покончив с поздравлениями, перейду к пожеланиям.
1Но здесь не место вести речь, скажем, о теории языковых игр позднего Виттгенштейна (1945), впустившего в свои построения категории возможного и ожидаемого, впрочем, без того, чтобы понять время как направленное, как обладающее историческим смыслом.≉ ≈|Если логицизм гиперрационалистичен (так что в этом случае мы попадаем в универсум негативной, “снятой|” информации, где все заведомо известно), то историзм в своем крайнем проявлении гипорационалистичен или даже иррационален, как, например, у Шеллинга (Philosophie der Offenbarung, 1841–1842), для которого запускание в ход истории не калькулируемо вообще, ибо представляет собой Божественное Откровение о приходе Сыновьего царства.≉ ≈2.
1Но и вся звуковая фактура, с самого начала стихотворения, |ориентирована на «Дыр бул щыл|».
1Но и сквозь этот энергичный импульс просвечивает вторым планом отсылка к пастернаковскому “|Мело-мело по всей земле, во все пределы…|”.
1Но и языку отказывать в этом праве – значит быть| Иваном, не помнящим родства|.≉ Вы упомянули о некоторой ксенофобии к иностранным языкам и, вероятно, замечали, путешествуя по разным странам, что русские переселенцы очень вяло интегрируются в другие культуры – нет ли здесь подсознательной языковой причины?≉ А.
1Но как бы там ни приказывали, а человек не стальной.≉ ≈|Утомилась она, взяла да и| присела на сноп отдохнуть.
1Но лучше бы Мандельштам не писал «|Мы живем, под собою не чуя страны…|».
1Но на самом деле именно в «Путешествии» (в 1890 году, напоминаю), в главе «Тверь», пишет он ту фразу, которая приводится авторами как пример его отрезвления: «|Таков есть закон природы: из мучительства рождается вольность, из вольности рабство…|» (с.
1Но на себя — вспомнив ли совет Крылова: “|не лучше ль на себя, кума, оборотиться?|” — автор успевает кокетливо взглянуть: “…что, право ж, не похоже на меня”.
1Но ничего не сказано о таком опасном свойстве романтического героя, как его эгоизм (“|…ты для себя лишь хочешь воли|”, – сказано Пушкиным об Алеко).
1Но нравы литературной полемики в середине XIX в. не отличались корректностью (этим страдал и сам Достоевский, вспомните статью “|Господин Щедрин, или Раскол в нигилистах|”), и учитывать это необходимо, иначе Панаевым можно будет пугать детей.
1Но одаренность среди тогдашних студентов ОСиПЛа была если не обязательным, то часто встречающимся качеством: └|все они таланты, все они красавцы, все они поэты|… ┘А у него было еще что-то, помимо одаренности.
1Но он зря заостряет проблему, |утрирует ее ироническим вопросом “А был ли “Гамлет|”-то?” (с.
1Но он нагонит: чик, Ich liebe dich И, может быть, опередит: Ich sterbe ≉  Все это еще осложнено аллюзией на мандельштамовское:≉  └|Не три свечи горели, а три встречи ┘— Одну из них сам Бог благословил, Четвертой не бывать, а Рим далече, И никогда он Рима не любил|.
1Но он нагонит: чик, Ich liebe dich И, может быть, опередит: Ich sterbe ≉  Все это еще осложнено аллюзией на мандельштамовское:≉  └|Не три свечи горели, а три встречи ┘— Одну из них сам Бог благословил, Четвертой не бывать, а Рим далече, И никогда он Рима не любил|.
1Но Онегин вдруг прерывает рассказ о своих впечатлениях:≉ ≉ ≈|Боюсь: брусничная вода≉ ≈Мне не наделала б вреда|.≉ Но это только кажется, что прерывает.
1Но почему до болезни они его не уважали?≉ На последний вопрос мы вообще не найдем ответа в “Евгении Онегине” – верное свидетельство того, что Автор подобным вопросом и не задавался.≉ Примем во внимание давно уже установленную (впервые, кажется, Н. Бродским4■) перекличку первой строчки “Евгения Онегина” со строкой из крыловской басни “Осел и мужик” – “|Осел был самых честных правил|”.
1Но прежде всего, — забегая слегка вперед, — надо сказать, что далеко не все они оказались бесполезными, а одно, может быть, даже и изменило ход истории 5■ .≉ ≈В книге своих мемуаров – «Люди, годы, жизнь» — об этой стороне своей деятельности он высказался так:≉ ≈«|Чехов, будучи еще Антошей Чехонте, говорил, что медицина — его законная жена, а литература — любовница; медицине он долго учился|, получил диплом, практиковал.
1Но рыбы-то все равно| там будут.≉ А будут ли|?
1Но ты| мне душу предлагаешь: На кой мне| чорт душа твоя!..
1Но эта оппозиция “возвышенного” и “искусственного” находит полный аналог в противопоставлении “делания” и “сделанного” у Шкловского: “|Искусство есть способ пережить деланье вещи, а сделанное в искусстве не важно|” 52 .
1Но эту|… Я достаю @@@@@@@@@@@ из широких штанин дубликатом @@@@@@@@@@@ бесценного груза|.
1Но, по правде говоря, он был уже внушительно старый – почти восьмидесятилетний, когда, позвонив по телефону и в очередной раз донельзя смутив меня сообщением – “это говорит Витя”, без дальнейших вступлений сказал:≉ – История такая… Пушкину стихи Ленского не нравились: “|так он писал – темно и вяло|”, помните?
1Но, скорее всего, нет никакого ключа, никакой загадки: |и сеть тем вернее своим искусом губит человека, что, может статься, никакой от века …≉ ≈@|≉ ≈■ 1 └Тайганова Татьяна.
1Но| ворюги мне милей, чем кровопийцы|”.
1Новое эзопово письмо и новый тип юмора уже сложился, хотя и находится в процессе развития 2.≈ |Мне кажется, что отличие гипертекста от простого текста лежит примерно в той же плоскости, что отличие стиха от прозы (как оно понимается в рамках стиховедческого мэйнстрима, среди людей, о коих не сужу, затем, что к ним принадлежу): стих - это текст с двойной сегментацией (условно говоря|, "длиной" и "высотой"), а гипертекст - тоже текст с двойной сегментацией, только его второе измерение - не "высота", а "глубина".
1Ну да, Тютчев: “|тем она верней / Своим искусом губит человека|”.
1Ну и просто проходимцы — МММ, “Чары” и “|Хопры-инвесты” — тоже были не чужие на этом празднике жизни|.
1Нужна идея, которую мог бы усвоить себе хотя один поляк» 2■ .≉ ≈Пушкин еще мог помнить и говорить об исторической сложности взаимоотношений двух народов, не забывая и взятие Москвы, и Самозванца, вместе с тем любя Мицкевича, который поначалу, как ему показалось, преодолел национальные счеты, ибо говорил «|о временах, когда народы, распри позабыв, в единую семью соединятся|».
1Нужно было видеть, с каким внутренним напряжением конструирует Яковлева – Агафья Тихоновна образ желанного жениха (“|Если бы губы Никанора Ивановича да приставить к носу Ивана Кузмича…|” и т.д.) или с каким отчаянием говорит Дуров – Жевакин о полученном только что отказе со стороны невесты (“…Зачем?
1О популярности «|Дыр бул щыл…|» и до нашего времени свидетельствует хотя бы то, что современный сочинитель Герман Лукомников, пробуя силы в «плагиарте» (акционном присвоении себе чужих текстов), наряду с лермонтовским «Парусом», тютчевской «Весенней грозой», некрасовским «Мужичком с ноготок» и др. опубликовал под своим именем и интересующее нас стихотворение (└Лукомников Герман.
1О связи этой эсхатологии с петровской реформой афористически написал еще Максимилиан Волошин в поэме «|Россия» (1924): ≉ ≈Великий Петр был первый большевик|, ≉ ≈Замысливший Россию перебросить, ≉ ≈Склонениям и нравам вопреки, ≉ ≈За сотни лет, к ее грядущим далям.
1О чем прямо сказано в том же стихотворении: ≉ └ ≈|Старого мира последний сон: ≉ ≈Молодость, доблесть, Вандея, Дон|… ≉ ┘ ≉ Навязанный большевистской пропагандой ярлык стал для Цветаевой действительно знаменем.
1Оба наших героя описывали тот вопрос-паралич, с которым оба встретились на своем повороте, - вопрос: “Зачем?” Знал этот вопрос и Пушкин: └Зачем крутится ветр в овраге?┘ Только это был у Пушкина вопрос иного свойства - не остановкой, парализующей поэтический мир, не поворотом, а круговоротом в поэтическом мире, вместе с немедленным на него ответом - “|бодрым, ясным и незапутанным”: └Затем, что ветру и орлу, / И сердцу девы нет закона┘|.≉ Аксаков в том же письме сыновьям о смерти Гоголя продолжает: “Я признаю Гоголя святым, не определяя значения этого слова.
1Обвинения в «|безыдейности» (это слово вошло в обиход литературной критики после постановления ЦК ВКП(б) о журналах «Звезда» и «Ленинград|»), национальной ограниченности, пессимизме, несоответствии его очерков жизненной правде, даже извращении правды, «идеологическом вывихе», отсутствии «чувства нового» и прочих грехах содержались едва ли не в каждом выступлении.
1Образ статуи уже не несет в себе поэтического вдохновения – он связан только с мотивами насилия, разрушения, безвозвратности любовной утраты.≉ ≈Теперь вернемся к стихотворению “|Я вас любил…”:≉  ≈Я вас любил: любовь еще, быть может,≉ ≈В душе моей угасла не совсем;≉ ≈Но пусть она вас больше не тревожит;≉ ≈Я не хочу печалить вас ничем.≉ ≈Я вас любил безмолвно, безнадежно,≉ ≈То робостью, то ревностью томим;≉ ≈Я вас любил так искренно, так нежно,≉ ≈Как дай вам Бог любимой быть другим [7].≉  ≈В работах 1970–1980-х годов, посвященных этому стихотворению, А.К.|■Жолковский, иллюстрируя положения своей теории поэтики выразительности, показывает посредством подробного анализа формальной, дискурсивной и тематической структуры стихотворения, что оно отражает равновесие и контраст двух полюсов главного инварианта пушкинского творчества – страсти и бесстрастия.
1Образ тирана, запечатленный в этих шестнадцати строчках, при всей своей лубочности (“Тараканьи смеются усища / и сияют его голенища”) словно вырублен из цельного куска и по-своему монументален: “|Его толстые пальцы, как черви, жирны, / и слова, как пудовые гири, верны <…> / Как подковы кует за указом указ@ – / кому в пах, кому в лоб, кому в бровь, / кому в глаз…|”.
1Образная система баллады, возможно, как заметил Дубшан, повлияла на образность в песне Окуджавы:≉ ≉ |В двенадцать часов по ночам≉ Из гроба встает полководец;≉ На нем сверх мундира сюртук;≉ Он с маленькой шляпой и шпагой;≉ На старом коне боевом≉ Он медленно едет по фрунту:≉ И маршалы едут за ним,≉ И едут за ним адъютанты.≉ ≉ Действительно, состав действующих лиц у Окуджавы тот же что у Жуковского - император в сюртуке верхом на коне, за ним едут генералы и адъютанты, - но у Окуджавы “идет другая драма|”, и различия не только жанровые - в одном случае это баллада, а в другом - песня, построенная на экфрасисе.
